ranking_date,year,semester,rank,team,acronym,total_points,previous_points,diff_points
1996-12-31,1996,2,10,Italy,ITA,59.0,59.0,0.0
1996-12-31,1996,2,11,Mexico,MEX,57.0,57.0,0.0
1996-12-31,1996,2,12,Bulgaria,BUL,56.0,54.0,2.0
1996-12-31,1996,2,12,England,ENG,56.0,56.0,0.0
1996-12-31,1996,2,12,Norway,NOR,56.0,56.0,0.0
1996-12-31,1996,2,12,Portugal,POR,56.0,56.0,0.0
1996-12-31,1996,2,12,Romania,ROU,56.0,53.0,3.0
1996-12-31,1996,2,12,Sweden,SWE,56.0,56.0,0.0
1996-12-31,1996,2,18,United States,USA,55.0,54.0,1.0
1996-12-31,1996,2,19,South Africa,RSA,54.0,53.0,1.0
1996-12-31,1996,2,19,Zambia,ZAM,54.0,53.0,1.0
1996-12-31,1996,2,21,Argentina,ARG,53.0,53.0,0.0
1996-12-31,1996,2,21,Japan,JPN,53.0,52.0,1.0
1996-12-31,1996,2,23,Tunisia,TUN,52.0,52.0,0.0
1996-12-31,1996,2,24,Croatia,CRO,51.0,51.0,0.0
1996-12-31,1996,2,24,Ghana,GHA,51.0,51.0,0.0
1996-12-31,1996,2,26,Chile,CHI,50.0,50.0,0.0
1996-12-31,1996,2,26,Egypt,EGY,50.0,50.0,0.0
1996-12-31,1996,2,26,Morocco,MAR,50.0,50.0,0.0
1996-12-31,1996,2,29,Scotland,SCO,49.0,49.0,0.0
1996-12-31,1996,2,29,Slovakia,SVK,49.0,48.0,1.0
1996-12-31,1996,2,31,Jamaica,JAM,48.0,46.0,2.0
1996-12-31,1996,2,31,Turkey,TUR,48.0,47.0,1.0
1996-12-31,1996,2,33,Ecuador,ECU,47.0,46.0,1.0
1996-12-31,1996,2,34,Austria,AUT,46.0,46.0,0.0
1996-12-31,1996,2,34,Greece,GRE,46.0,46.0,0.0
1996-12-31,1996,2,34,Paraguay,PAR,46.0,45.0,1.0
1996-12-31,1996,2,34,Republic of Ireland,IRL,46.0,47.0,-1.0
1996-12-31,1996,2,34,Saudi Arabia,KSA,46.0,45.0,1.0
1996-12-31,1996,2,39,Bolivia,BOL,45.0,45.0,0.0
1996-12-31,1996,2,39,Canada,CAN,45.0,43.0,2.0
1996-12-31,1996,2,39,Trinidad and Tobago,TRI,45.0,45.0,0.0
1996-12-31,1996,2,42,Belgium,BEL,44.0,44.0,0.0
1996-12-31,1996,2,42,Gabon,GAB,44.0,42.0,2.0
1996-12-31,1996,2,42,Honduras,HON,44.0,43.0,1.0
1996-12-31,1996,2,42,South Korea,KOR,44.0,43.0,1.0
1996-12-31,1996,2,42,Switzerland,SUI,44.0,44.0,0.0
1996-12-31,1996,2,42,Uruguay,URU,44.0,40.0,4.0
1996-12-31,1996,2,48,Algeria,ALG,43.0,43.0,0.0
1996-12-31,1996,2,48,Australia,AUS,43.0,43.0,0.0
1996-12-31,1996,2,48,Côte d'Ivoire,CIV,43.0,47.0,-4.0
1996-12-31,1996,2,48,Lithuania,LTU,43.0,43.0,0.0
1996-12-31,1996,2,52,Israel,ISR,42.0,40.0,2.0
1996-12-31,1996,2,53,Poland,POL,41.0,41.0,0.0
1996-12-31,1996,2,54,Cameroon,CMR,40.0,43.0,-3.0
1996-12-31,1996,2,54,Peru,PER,40.0,41.0,-1.0
1996-12-31,1996,2,54,Yugoslavia,YUG,40.0,38.0,2.0
1996-12-31,1996,2,57,Thailand,THA,39.0,39.0,0.0
1996-12-31,1996,2,58,Senegal,SEN,38.0,39.0,-1.0
1996-12-31,1996,2,59,Iceland,ISL,37.0,37.0,0.0
1996-12-31,1996,2,59,Kuwait,KUW,37.0,33.0,4.0
1996-12-31,1996,2,59,Nigeria,NGA,37.0,37.0,0.0
1996-12-31,1996,2,59,Northern Ireland,NIR,37.0,34.0,3.0
1996-12-31,1996,2,59,Ukraine,UKR,37.0,37.0,0.0
1996-12-31,1996,2,59,United Arab Emirates,UAE,37.0,35.0,2.0
1996-12-31,1996,2,65,Cuba,CUB,36.0,36.0,0.0
1996-12-31,1996,2,65,DR Congo,ZAI,36.0,36.0,0.0
1996-12-31,1996,2,65,El Salvador,SLV,36.0,35.0,1.0
1996-12-31,1996,2,65,Mali,MLI,36.0,35.0,1.0
1996-12-31,1996,2,69,Angola,ANG,35.0,35.0,0.0
1996-12-31,1996,2,69,Costa Rica,CRC,35.0,32.0,3.0
1996-12-31,1996,2,69,Guinea,GUI,35.0,34.0,1.0
1996-12-31,1996,2,69,Qatar,QAT,35.0,36.0,-1.0
1996-12-31,1996,2,69,Zimbabwe,ZIM,35.0,37.0,-2.0
1996-12-31,1996,2,74,China PR,CHN,34.0,33.0,1.0
1996-12-31,1996,2,74,Cyprus,CYP,34.0,34.0,0.0
1996-12-31,1996,2,74,Finland,FIN,34.0,33.0,1.0
1996-12-31,1996,2,74,Hungary,HUN,34.0,34.0,0.0
1996-12-31,1996,2,74,Slovenia,SVN,34.0,35.0,-1.0
1996-12-31,1996,2,74,Sudan,SDN,34.0,32.0,2.0
1996-12-31,1996,2,80,Iran,IRN,33.0,33.0,0.0
1996-12-31,1996,2,80,Latvia,LVA,33.0,33.0,0.0
1996-12-31,1996,2,80,Mozambique,MOZ,33.0,33.0,0.0
1996-12-31,1996,2,80,Sierra Leone,SLE,33.0,36.0,-3.0
1996-12-31,1996,2,80,Uganda,UGA,33.0,27.0,6.0
1996-12-31,1996,2,80,Wales,WAL,33.0,32.0,1.0
1996-12-31,1996,2,86,FYR Macedonia,MKD,32.0,29.0,3.0
1996-12-31,1996,2,86,Togo,TOG,32.0,32.0,0.0
1996-12-31,1996,2,88,Malawi,MWI,30.0,30.0,0.0
1996-12-31,1996,2,88,Tanzania,TAN,30.0,31.0,-1.0
1996-12-31,1996,2,90,Belarus,BLR,29.0,29.0,0.0
1996-12-31,1996,2,90,Oman,OMA,29.0,30.0,-1.0
1996-12-31,1996,2,92,Georgia,GEO,28.0,27.0,1.0
1996-12-31,1996,2,92,Liberia,LBR,28.0,28.0,0.0
1996-12-31,1996,2,92,Singapore,SGP,28.0,28.0,0.0
1996-12-31,1996,2,92,St. Vincent and the Grenadines,VIN,28.0,28.0,0.0
1996-12-31,1996,2,96,Iraq,IRQ,27.0,18.0,9.0
1996-12-31,1996,2,96,Lebanon,LBN,27.0,26.0,1.0
1996-12-31,1996,2,96,Malaysia,MAS,27.0,28.0,-1.0
1996-12-31,1996,2,96,Vietnam,VIE,27.0,25.0,2.0
1996-12-31,1996,2,100,Congo,CGO,26.0,26.0,0.0
1996-12-31,1996,2,100,Estonia,EST,26.0,25.0,1.0
1996-12-31,1996,2,100,Guatemala,GUA,26.0,22.0,4.0
1996-12-31,1996,2,100,Myanmar,MYA,26.0,26.0,0.0
1996-12-31,1996,2,100,Namibia,NAM,26.0,26.0,0.0
1996-12-31,1996,2,100,Panama,PAN,26.0,23.0,3.0
1996-12-31,1996,2,106,Armenia,ARM,24.0,24.0,0.0
1996-12-31,1996,2,107,Barbados,BRB,23.0,23.0,0.0
1996-12-31,1996,2,107,Burkina Faso,BFA,23.0,23.0,0.0
1996-12-31,1996,2,107,Ethiopia,ETH,23.0,25.0,-2.0
1996-12-31,1996,2,107,Kenya,KEN,23.0,24.0,-1.0
1996-12-31,1996,2,107,Uzbekistan,UZB,23.0,20.0,3.0
1996-12-31,1996,2,107,Venezuela,VEN,23.0,23.0,0.0
1996-12-31,1996,2,113,Haiti,HAI,22.0,22.0,0.0
1996-12-31,1996,2,113,Mauritania,MTN,22.0,24.0,-2.0
1996-12-31,1996,2,113,Syria,SYR,22.0,20.0,2.0
1996-12-31,1996,2,116,Albania,ALB,21.0,22.0,-1.0
1996-12-31,1996,2,116,Bahrain,BHR,21.0,22.0,-1.0
1996-12-31,1996,2,116,India,IND,21.0,23.0,-2.0
1996-12-31,1996,2,116,Indonesia,IDN,21.0,21.0,0.0
1996-12-31,1996,2,116,Moldova,MDA,21.0,21.0,0.0
1996-12-31,1996,2,121,Malta,MLT,20.0,19.0,1.0
1996-12-31,1996,2,121,St. Kitts and Nevis,SKN,20.0,20.0,0.0
1996-12-31,1996,2,123,Azerbaijan,AZE,19.0,19.0,0.0
1996-12-31,1996,2,123,Hong Kong,HKG,19.0,19.0,0.0
1996-12-31,1996,2,123,Luxembourg,LUX,19.0,19.0,0.0
1996-12-31,1996,2,126,Gambia,GAM,18.0,19.0,-1.0
1996-12-31,1996,2,126,Grenada,GRN,18.0,18.0,0.0
1996-12-31,1996,2,126,Sri Lanka,SRI,18.0,18.0,0.0
1996-12-31,1996,2,129,Dominican Republic,DOM,17.0,17.0,0.0
1996-12-31,1996,2,129,Niger,NIG,17.0,17.0,0.0
1996-12-31,1996,2,129,Suriname,SUR,17.0,17.0,0.0
1996-12-31,1996,2,132,Guinea-Bissau,GNB,16.0,18.0,-2.0
1996-12-31,1996,2,132,New Zealand,NZL,16.0,15.0,1.0
1996-12-31,1996,2,132,St. Lucia,LCA,16.0,16.0,0.0
1996-12-31,1996,2,135,Faroe Islands,FRO,15.0,15.0,0.0
1996-12-31,1996,2,136,Bangladesh,BAN,14.0,16.0,-2.0
1996-12-31,1996,2,136,Burundi,BDI,14.0,14.0,0.0
1996-12-31,1996,2,138,Dominica,DMA,12.0,12.0,0.0
1996-12-31,1996,2,138,Yemen,YEM,12.0,12.0,0.0
1996-12-31,1996,2,140,Benin,BEN,11.0,11.0,0.0
1996-12-31,1996,2,140,Madagascar,MAD,11.0,12.0,-1.0
1996-12-31,1996,2,140,Turkmenistan,TKM,11.0,11.0,0.0
1996-12-31,1996,2,143,Antigua and Barbuda,ATG,10.0,10.0,0.0
1996-12-31,1996,2,143,Jordan,JOR,10.0,10.0,0.0
1996-12-31,1996,2,143,Korea DPR,PRK,10.0,11.0,-1.0
1996-12-31,1996,2,143,Laos,LAO,10.0,11.0,-1.0
1996-12-31,1996,2,147,Cayman Islands,CAY,9.0,9.0,0.0
1996-12-31,1996,2,147,Mauritius,MRI,9.0,9.0,0.0
1996-12-31,1996,2,147,Nepal,NEP,9.0,9.0,0.0
1996-12-31,1996,2,147,Puerto Rico,PUR,9.0,9.0,0.0
1996-12-31,1996,2,151,Bosnia and Herzegovina,BIH,8.0,8.0,0.0
1996-12-31,1996,2,151,Guyana,GUY,8.0,8.0,0.0
1996-12-31,1996,2,153,Cape Verde,CPV,7.0,8.0,-1.0
1996-12-31,1996,2,153,Fiji,FIJ,7.0,7.0,0.0
1996-12-31,1996,2,153,Kazakhstan,KAZ,7.0,6.0,1.0
1996-12-31,1996,2,153,Liechtenstein,LIE,7.0,7.0,0.0
1996-12-31,1996,2,153,Tahiti,TAH,7.0,7.0,0.0
1996-12-31,1996,2,158,Botswana,BOT,6.0,6.0,0.0
1996-12-31,1996,2,158,Eswatini,SWZ,6.0,7.0,-1.0
1996-12-31,1996,2,158,Lesotho,LES,6.0,6.0,0.0
1996-12-31,1996,2,158,Rwanda,RWA,6.0,5.0,1.0
1996-12-31,1996,2,158,San Marino,SMR,6.0,6.0,0.0
1996-12-31,1996,2,158,Tajikistan,TJK,6.0,6.0,0.0
1996-12-31,1996,2,158,Tonga,TGA,6.0,3.0,3.0
1996-12-31,1996,2,165,Bermuda,BER,5.0,5.0,0.0
1996-12-31,1996,2,165,Kyrgyz Republic,KGZ,5.0,5.0,0.0
1996-12-31,1996,2,165,Philippines,PHI,5.0,5.0,0.0
1996-12-31,1996,2,168,Brunei Darussalam,BRU,4.0,4.0,0.0
1996-12-31,1996,2,168,Macau,MAC,4.0,4.0,0.0
1996-12-31,1996,2,168,Pakistan,PAK,4.0,4.0,0.0
1996-12-31,1996,2,168,Papua New Guinea,PNG,4.0,4.0,0.0
1996-12-31,1996,2,168,Solomon Islands,SOL,4.0,4.0,0.0
1996-12-31,1996,2,173,Maldives,MDV,3.0,3.0,0.0
1996-12-31,1996,2,173,Samoa,SAM,3.0,3.0,0.0
1996-12-31,1996,2,173,Seychelles,SEY,3.0,3.0,0.0
1996-12-31,1996,2,173,Taiwan,TPE,3.0,3.0,0.0
1996-12-31,1996,2,177,Nicaragua,NCA,2.0,2.0,0.0
1996-12-31,1996,2,177,Somalia,SOM,2.0,2.0,0.0
1996-12-31,1996,2,177,Vanuatu,VAN,2.0,2.0,0.0
1996-12-31,1996,2,180,Aruba,ARU,1.0,1.0,0.0
1996-12-31,1996,2,180,Belize,BLZ,1.0,1.0,0.0
1996-12-31,1996,2,180,Central African Republic,CTA,1.0,1.0,0.0
1996-12-31,1996,2,183,Andorra,AND,0.0,0.0,0.0
1996-12-31,1996,2,183,Cambodia,CAM,0.0,0.0,0.0
1996-12-31,1996,2,183,Chad,CHA,0.0,0.0,0.0
1996-12-31,1996,2,183,Cook Islands,COK,0.0,0.0,0.0
1996-12-31,1996,2,183,Djibouti,DJI,0.0,0.0,0.0
1996-12-31,1996,2,183,Guam,GUM,0.0,0.0,0.0
1996-12-31,1996,2,183,Libya,LBY,0.0,0.0,0.0
1997-06-30,1997,1,1,Brazil,BRA,72.0,66.0,6.0
1997-06-30,1997,1,2,Spain,ESP,63.0,63.0,0.0
1997-06-30,1997,1,3,Denmark,DEN,62.0,62.0,0.0
1997-06-30,1997,1,4,Germany,GER,61.0,64.0,-3.0
1997-06-30,1997,1,4,Netherlands,NED,61.0,59.0,2.0
1997-06-30,1997,1,4,Romania,ROU,61.0,60.0,1.0
1997-06-30,1997,1,4,Russia,RUS,61.0,60.0,1.0
1997-06-30,1997,1,8,England,ENG,60.0,60.0,0.0
1997-06-30,1997,1,8,Italy,ITA,60.0,60.0,0.0
1997-06-30,1997,1,10,France,FRA,59.0,60.0,-1.0
1997-06-30,1997,1,10,Mexico,MEX,59.0,59.0,0.0
1997-06-30,1997,1,12,Colombia,COL,58.0,58.0,0.0
1997-06-30,1997,1,13,Argentina,ARG,57.0,56.0,1.0
1997-06-30,1997,1,13,Czechia,CZE,57.0,59.0,-2.0
1997-06-30,1997,1,13,Morocco,MAR,57.0,56.0,1.0
1997-06-30,1997,1,16,Japan,JPN,56.0,55.0,1.0
1997-06-30,1997,1,16,Norway,NOR,56.0,56.0,0.0
1997-06-30,1997,1,18,Bolivia,BOL,55.0,50.0,5.0
1997-06-30,1997,1,18,Zambia,ZAM,55.0,54.0,1.0
1997-06-30,1997,1,20,Bulgaria,BUL,54.0,53.0,1.0
1997-06-30,1997,1,20,Slovakia,SVK,54.0,54.0,0.0
1997-06-30,1997,1,22,Paraguay,PAR,53.0,53.0,0.0
1997-06-30,1997,1,22,Scotland,SCO,53.0,54.0,-1.0
1997-06-30,1997,1,22,South Africa,RSA,53.0,54.0,-1.0
1997-06-30,1997,1,25,Chile,CHI,52.0,52.0,0.0
1997-06-30,1997,1,25,Portugal,POR,52.0,54.0,-2.0
1997-06-30,1997,1,25,Sweden,SWE,52.0,53.0,-1.0
1997-06-30,1997,1,25,Tunisia,TUN,52.0,51.0,1.0
1997-06-30,1997,1,25,United States,USA,52.0,52.0,0.0
1997-06-30,1997,1,30,Australia,AUS,51.0,50.0,1.0
1997-06-30,1997,1,30,Croatia,CRO,51.0,51.0,0.0
1997-06-30,1997,1,30,Ecuador,ECU,51.0,48.0,3.0
1997-06-30,1997,1,33,Peru,PER,50.0,47.0,3.0
1997-06-30,1997,1,33,Saudi Arabia,KSA,50.0,50.0,0.0
1997-06-30,1997,1,33,South Korea,KOR,50.0,50.0,0.0
1997-06-30,1997,1,36,Belgium,BEL,49.0,50.0,-1.0
1997-06-30,1997,1,36,Yugoslavia,YUG,49.0,49.0,0.0
1997-06-30,1997,1,38,Egypt,EGY,48.0,47.0,1.0
1997-06-30,1997,1,39,Austria,AUT,47.0,47.0,0.0
1997-06-30,1997,1,39,Greece,GRE,47.0,47.0,0.0
1997-06-30,1997,1,39,Jamaica,JAM,47.0,48.0,-1.0
1997-06-30,1997,1,42,Ghana,GHA,46.0,48.0,-2.0
1997-06-30,1997,1,42,Turkey,TUR,46.0,46.0,0.0
1997-06-30,1997,1,42,Uruguay,URU,46.0,44.0,2.0
1997-06-30,1997,1,45,Cameroon,CMR,45.0,46.0,-1.0
1997-06-30,1997,1,45,Canada,CAN,45.0,45.0,0.0
1997-06-30,1997,1,45,Côte d'Ivoire,CIV,45.0,44.0,1.0
1997-06-30,1997,1,45,Honduras,HON,45.0,45.0,0.0
1997-06-30,1997,1,45,Israel,ISR,45.0,45.0,0.0
1997-06-30,1997,1,45,Kuwait,KUW,45.0,43.0,2.0
1997-06-30,1997,1,45,Poland,POL,45.0,43.0,2.0
1997-06-30,1997,1,45,Ukraine,UKR,45.0,45.0,0.0
1997-06-30,1997,1,53,Costa Rica,CRC,44.0,44.0,0.0
1997-06-30,1997,1,53,Lithuania,LTU,44.0,45.0,-1.0
1997-06-30,1997,1,53,Republic of Ireland,IRL,44.0,47.0,-3.0
1997-06-30,1997,1,56,China PR,CHN,43.0,43.0,0.0
1997-06-30,1997,1,56,Iran,IRN,43.0,43.0,0.0
1997-06-30,1997,1,56,Nigeria,NGA,43.0,44.0,-1.0
1997-06-30,1997,1,59,Algeria,ALG,42.0,42.0,0.0
1997-06-30,1997,1,59,Angola,ANG,42.0,41.0,1.0
1997-06-30,1997,1,59,Gabon,GAB,42.0,41.0,1.0
1997-06-30,1997,1,59,Zimbabwe,ZIM,42.0,41.0,1.0
1997-06-30,1997,1,63,Guinea,GUI,41.0,42.0,-1.0
1997-06-30,1997,1,63,Switzerland,SUI,41.0,42.0,-1.0
1997-06-30,1997,1,65,Senegal,SEN,40.0,39.0,1.0
1997-06-30,1997,1,65,Thailand,THA,40.0,41.0,-1.0
1997-06-30,1997,1,65,United Arab Emirates,UAE,40.0,40.0,0.0
1997-06-30,1997,1,68,Finland,FIN,39.0,40.0,-1.0
1997-06-30,1997,1,68,Mali,MLI,39.0,38.0,1.0
1997-06-30,1997,1,68,Northern Ireland,NIR,39.0,39.0,0.0
1997-06-30,1997,1,71,El Salvador,SLV,38.0,37.0,1.0
1997-06-30,1997,1,71,Hungary,HUN,38.0,38.0,0.0
1997-06-30,1997,1,71,Mozambique,MOZ,38.0,34.0,4.0
1997-06-30,1997,1,71,Trinidad and Tobago,TRI,38.0,41.0,-3.0
1997-06-30,1997,1,75,Iraq,IRQ,37.0,36.0,1.0
1997-06-30,1997,1,75,Latvia,LVA,37.0,36.0,1.0
1997-06-30,1997,1,77,Togo,TOG,36.0,36.0,0.0
1997-06-30,1997,1,78,DR Congo,ZAI,35.0,36.0,-1.0
1997-06-30,1997,1,78,FYR Macedonia,MKD,35.0,35.0,0.0
1997-06-30,1997,1,78,Namibia,NAM,35.0,32.0,3.0
1997-06-30,1997,1,78,Qatar,QAT,35.0,35.0,0.0
1997-06-30,1997,1,82,Cyprus,CYP,34.0,34.0,0.0
1997-06-30,1997,1,82,Oman,OMA,34.0,30.0,4.0
1997-06-30,1997,1,82,Sierra Leone,SLE,34.0,34.0,0.0
1997-06-30,1997,1,82,Uganda,UGA,34.0,33.0,1.0
1997-06-30,1997,1,82,Uzbekistan,UZB,34.0,32.0,2.0
1997-06-30,1997,1,87,Iceland,ISL,33.0,34.0,-1.0
1997-06-30,1997,1,87,Lebanon,LBN,33.0,33.0,0.0
1997-06-30,1997,1,87,Malawi,MWI,33.0,33.0,0.0
1997-06-30,1997,1,87,Malaysia,MAS,33.0,33.0,0.0
1997-06-30,1997,1,87,Slovenia,SVN,33.0,33.0,0.0
1997-06-30,1997,1,87,Wales,WAL,33.0,33.0,0.0
1997-06-30,1997,1,93,Guatemala,GUA,32.0,32.0,0.0
1997-06-30,1997,1,93,Liberia,LBR,32.0,32.0,0.0
1997-06-30,1997,1,93,Sudan,SDN,32.0,32.0,0.0
1997-06-30,1997,1,93,Tanzania,TAN,32.0,29.0,3.0
1997-06-30,1997,1,97,Congo,CGO,31.0,32.0,-1.0
1997-06-30,1997,1,97,Cuba,CUB,31.0,31.0,0.0
1997-06-30,1997,1,97,Estonia,EST,31.0,29.0,2.0
1997-06-30,1997,1,97,Georgia,GEO,31.0,31.0,0.0
1997-06-30,1997,1,101,Syria,SYR,29.0,27.0,2.0
1997-06-30,1997,1,102,Belarus,BLR,28.0,28.0,0.0
1997-06-30,1997,1,102,Kenya,KEN,28.0,28.0,0.0
1997-06-30,1997,1,104,Burkina Faso,BFA,27.0,28.0,-1.0
1997-06-30,1997,1,105,Armenia,ARM,26.0,26.0,0.0
1997-06-30,1997,1,105,Indonesia,IDN,26.0,26.0,0.0
1997-06-30,1997,1,105,Panama,PAN,26.0,26.0,0.0
1997-06-30,1997,1,105,Venezuela,VEN,26.0,25.0,1.0
1997-06-30,1997,1,109,Barbados,BRB,25.0,25.0,0.0
1997-06-30,1997,1,109,Singapore,SGP,25.0,28.0,-3.0
1997-06-30,1997,1,109,Vietnam,VIE,25.0,25.0,0.0
1997-06-30,1997,1,112,Bahrain,BHR,24.0,24.0,0.0
1997-06-30,1997,1,112,New Zealand,NZL,24.0,22.0,2.0
1997-06-30,1997,1,114,Bosnia and Herzegovina,BIH,23.0,23.0,0.0
1997-06-30,1997,1,114,India,IND,23.0,23.0,0.0
1997-06-30,1997,1,114,St. Vincent and the Grenadines,VIN,23.0,24.0,-1.0
1997-06-30,1997,1,114,Tajikistan,TJK,23.0,19.0,4.0
1997-06-30,1997,1,118,Ethiopia,ETH,22.0,23.0,-1.0
1997-06-30,1997,1,118,Grenada,GRN,22.0,22.0,0.0
1997-06-30,1997,1,118,Myanmar,MYA,22.0,25.0,-3.0
1997-06-30,1997,1,121,Albania,ALB,21.0,21.0,0.0
1997-06-30,1997,1,121,Kazakhstan,KAZ,21.0,17.0,4.0
1997-06-30,1997,1,121,Malta,MLT,21.0,21.0,0.0
1997-06-30,1997,1,124,Azerbaijan,AZE,20.0,20.0,0.0
1997-06-30,1997,1,124,Faroe Islands,FRO,20.0,20.0,0.0
1997-06-30,1997,1,124,Moldova,MDA,20.0,20.0,0.0
1997-06-30,1997,1,127,Hong Kong,HKG,19.0,19.0,0.0
1997-06-30,1997,1,127,Mauritania,MTN,19.0,19.0,0.0
1997-06-30,1997,1,127,Yemen,YEM,19.0,17.0,2.0
1997-06-30,1997,1,130,Benin,BEN,18.0,18.0,0.0
1997-06-30,1997,1,130,Haiti,HAI,18.0,18.0,0.0
1997-06-30,1997,1,130,Luxembourg,LUX,18.0,18.0,0.0
1997-06-30,1997,1,130,Turkmenistan,TKM,18.0,18.0,0.0
1997-06-30,1997,1,134,Jordan,JOR,17.0,17.0,0.0
1997-06-30,1997,1,134,Solomon Islands,SOL,17.0,14.0,3.0
1997-06-30,1997,1,136,Bangladesh,BAN,16.0,16.0,0.0
1997-06-30,1997,1,136,Dominica,DMA,16.0,16.0,0.0
1997-06-30,1997,1,136,Kyrgyz Republic,KGZ,16.0,12.0,4.0
1997-06-30,1997,1,136,Sri Lanka,SRI,16.0,17.0,-1.0
1997-06-30,1997,1,136,St. Kitts and Nevis,SKN,16.0,17.0,-1.0
1997-06-30,1997,1,141,St. Lucia,LCA,15.0,15.0,0.0
1997-06-30,1997,1,142,Fiji,FIJ,14.0,8.0,6.0
1997-06-30,1997,1,142,Gambia,GAM,14.0,14.0,0.0
1997-06-30,1997,1,144,Dominican Republic,DOM,13.0,14.0,-1.0
1997-06-30,1997,1,144,Niger,NIG,13.0,14.0,-1.0
1997-06-30,1997,1,146,Guinea-Bissau,GNB,12.0,12.0,0.0
1997-06-30,1997,1,146,Suriname,SUR,12.0,12.0,0.0
1997-06-30,1997,1,148,Mauritius,MRI,11.0,10.0,1.0
1997-06-30,1997,1,149,Burundi,BDI,10.0,12.0,-2.0
1997-06-30,1997,1,150,Botswana,BOT,9.0,7.0,2.0
1997-06-30,1997,1,150,Laos,LAO,9.0,9.0,0.0
1997-06-30,1997,1,150,Lesotho,LES,9.0,9.0,0.0
1997-06-30,1997,1,150,Nepal,NEP,9.0,9.0,0.0
1997-06-30,1997,1,150,Taiwan,TPE,9.0,9.0,0.0
1997-06-30,1997,1,155,Antigua and Barbuda,ATG,8.0,8.0,0.0
1997-06-30,1997,1,155,Cayman Islands,CAY,8.0,8.0,0.0
1997-06-30,1997,1,155,Korea DPR,PRK,8.0,9.0,-1.0
1997-06-30,1997,1,155,Macau,MAC,8.0,4.0,4.0
1997-06-30,1997,1,155,Madagascar,MAD,8.0,10.0,-2.0
1997-06-30,1997,1,155,Tahiti,TAH,8.0,5.0,3.0
1997-06-30,1997,1,161,Liechtenstein,LIE,7.0,7.0,0.0
1997-06-30,1997,1,161,Papua New Guinea,PNG,7.0,7.0,0.0
1997-06-30,1997,1,161,Puerto Rico,PUR,7.0,8.0,-1.0
1997-06-30,1997,1,164,Bermuda,BER,6.0,6.0,0.0
1997-06-30,1997,1,164,Cape Verde,CPV,6.0,6.0,0.0
1997-06-30,1997,1,164,Eswatini,SWZ,6.0,6.0,0.0
1997-06-30,1997,1,164,Guyana,GUY,6.0,6.0,0.0
1997-06-30,1997,1,164,Rwanda,RWA,6.0,6.0,0.0
1997-06-30,1997,1,164,San Marino,SMR,6.0,6.0,0.0
1997-06-30,1997,1,164,Tonga,TGA,6.0,6.0,0.0
1997-06-30,1997,1,171,Pakistan,PAK,5.0,4.0,1.0
1997-06-30,1997,1,171,Philippines,PHI,5.0,5.0,0.0
1997-06-30,1997,1,173,Aruba,ARU,4.0,4.0,0.0
1997-06-30,1997,1,173,Brunei Darussalam,BRU,4.0,4.0,0.0
1997-06-30,1997,1,175,Belize,BLZ,3.0,3.0,0.0
1997-06-30,1997,1,175,British Virgin Islands,VGB,3.0,3.0,0.0
1997-06-30,1997,1,175,Samoa,SAM,3.0,3.0,0.0
1997-06-30,1997,1,175,Seychelles,SEY,3.0,3.0,0.0
1997-06-30,1997,1,179,Andorra,AND,2.0,0.0,2.0
1997-06-30,1997,1,179,Cambodia,CAM,2.0,2.0,0.0
1997-06-30,1997,1,179,Maldives,MDV,2.0,3.0,-1.0
1997-06-30,1997,1,179,Nicaragua,NCA,2.0,2.0,0.0
1997-06-30,1997,1,179,Somalia,SOM,2.0,2.0,0.0
1997-06-30,1997,1,179,Vanuatu,VAN,2.0,2.0,0.0
1997-06-30,1997,1,185,Central African Republic,CTA,1.0,1.0,0.0
1997-06-30,1997,1,185,Libya,LBY,1.0,1.0,0.0
1997-06-30,1997,1,187,Anguilla,AIA,0.0,0.0,0.0
1997-06-30,1997,1,187,Chad,CHA,0.0,0.0,0.0
1997-06-30,1997,1,187,Cook Islands,COK,0.0,0.0,0.0
1997-06-30,1997,1,187,Djibouti,DJI,0.0,0.0,0.0
1997-06-30,1997,1,187,Guam,GUM,0.0,0.0,0.0
1997-12-31,1997,2,1,Brazil,BRA,73.0,72.0,1.0
1997-12-31,1997,2,2,Czechia,CZE,65.0,62.0,3.0
1997-12-31,1997,2,2,Germany,GER,65.0,65.0,0.0
1997-12-31,1997,2,4,England,ENG,61.0,61.0,0.0
1997-12-31,1997,2,4,Mexico,MEX,61.0,60.0,1.0
1997-12-31,1997,2,6,Denmark,DEN,60.0,60.0,0.0
1997-12-31,1997,2,6,France,FRA,60.0,60.0,0.0
1997-12-31,1997,2,6,Italy,ITA,60.0,60.0,0.0
1997-12-31,1997,2,6,Romania,ROU,60.0,62.0,-2.0
1997-12-31,1997,2,10,Colombia,COL,59.0,60.0,-1.0
1997-12-31,1997,2,10,Spain,ESP,59.0,63.0,-4.0
1997-12-31,1997,2,12,Argentina,ARG,58.0,57.0,1.0
1997-12-31,1997,2,12,Chile,CHI,58.0,58.0,0.0
1997-12-31,1997,2,12,Japan,JPN,58.0,58.0,0.0
1997-12-31,1997,2,12,Morocco,MAR,58.0,58.0,0.0
1997-12-31,1997,2,12,Norway,NOR,58.0,58.0,0.0
1997-12-31,1997,2,12,Russia,RUS,58.0,58.0,0.0
1997-12-31,1997,2,18,Croatia,CRO,57.0,56.0,1.0
